# Hub Local Request Monitor - Slice[0] Bank[2]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[9736000] INFO: slice start (cycle=0)
     9759000 |     2 | 0x100000 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9762000 |     4 | 0x100004 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9784000 |     2 | 0x100001 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9787000 |     4 | 0x100005 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9789000 |     2 | 0x100002 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9792000 |     4 | 0x100006 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9794000 |     2 | 0x100003 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9797000 |     4 | 0x100007 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9799000 |     2 | 0x100008 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9802000 |     4 | 0x10000c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9804000 |     2 | 0x100009 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9807000 |     4 | 0x10000d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9809000 |     2 | 0x10000a |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9812000 |     4 | 0x10000e |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9814000 |     2 | 0x10000b |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9817000 |     4 | 0x10000f |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9819000 |     2 | 0x100010 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9822000 |     4 | 0x100014 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9824000 |     2 | 0x100011 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9827000 |     4 | 0x100015 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9829000 |     2 | 0x100012 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9832000 |     4 | 0x100016 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9834000 |     2 | 0x100013 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9837000 |     4 | 0x100017 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9839000 |     2 | 0x100018 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9842000 |     4 | 0x10001c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9844000 |     2 | 0x100019 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9847000 |     4 | 0x10001d |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
     9849000 |     2 | 0x10001a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
     9852000 |     2 | 0x10001b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
     9869000 |     4 | 0x10001e |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
     9872000 |     4 | 0x10001f |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
     9884000 |     2 | 0x100020 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9887000 |     4 | 0x100024 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9889000 |     2 | 0x100021 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9892000 |     4 | 0x100025 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9894000 |     2 | 0x100022 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
     9897000 |     2 | 0x100023 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
     9912000 |     4 | 0x100026 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
     9914000 |     4 | 0x100027 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
     9927000 |     2 | 0x100028 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9929000 |     4 | 0x10002c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9932000 |     2 | 0x100029 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9934000 |     4 | 0x10002d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
     9937000 |     2 | 0x10002a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
     9939000 |     2 | 0x10002b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
