# Bank Frame Channel Monitor - Slice[0] Bank[1]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
[12244000] INFO: slice start (cycle=0)
    12267000 |       17 |    0 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000000
    12269000 |       19 |    0 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000001
    12292000 |       37 |    0 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
    12294000 |       39 |    0 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
    12297000 |       41 |    0 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
    12299000 |       43 |    0 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
    12302000 |       45 |    0 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
    12304000 |       47 |    0 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
    12329000 |       67 |    0 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
    12332000 |       69 |    0 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
    12334000 |       71 |    0 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000a
    12337000 |       73 |    0 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000b
    12347000 |       81 |    0 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000c
    12392000 |      117 |    0 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000d
    12407000 |      129 |    0 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000e
    12409000 |      131 |    0 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000f
    12417000 |      137 |    0 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000010
    12477000 |      185 |    0 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000011
    12492000 |      197 |    0 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000012
    12494000 |      199 |    0 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000013
    12502000 |      205 |    0 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000014
    12562000 |      253 |    0 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000015
    12577000 |      265 |    0 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000016
    12579000 |      267 |    0 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000017
    12587000 |      273 |    0 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
    12647000 |      321 |    0 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000019
    12662000 |      333 |    0 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001a
    12664000 |      335 |    0 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001b
    12672000 |      341 |    0 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001c
    12732000 |      389 |    0 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001d
    12747000 |      401 |    0 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001e
    12749000 |      403 |    0 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001f
    12757000 |      409 |    0 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000020
    12817000 |      457 |    0 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000021
    12832000 |      469 |    0 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000022
    12834000 |      471 |    0 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000023
    12842000 |      477 |    0 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000024
    12902000 |      525 |    0 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000025
    12917000 |      537 |    0 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000026
    12919000 |      539 |    0 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000027
    12927000 |      545 |    0 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000028
    12987000 |      593 |    0 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000029
    13002000 |      605 |    0 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002a
    13004000 |      607 |    0 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002b
    13012000 |      613 |    0 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002c
    13072000 |      661 |    0 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002d
    13087000 |      673 |    0 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002e
    13089000 |      675 |    0 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002f
    13097000 |      681 |    0 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000030
    13157000 |      729 |    0 |  49 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000031
    13172000 |      741 |    0 |  50 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000032
    13174000 |      743 |    0 |  51 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000033
    13182000 |      749 |    0 |  52 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000034
    13242000 |      797 |    0 |  53 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000035
    13257000 |      809 |    0 |  54 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000036
    13259000 |      811 |    0 |  55 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000037
    13267000 |      817 |    0 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000038
    13327000 |      865 |    0 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000039
    13342000 |      877 |    0 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003a
    13344000 |      879 |    0 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003b
    13352000 |      885 |    0 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003c
    13412000 |      933 |    0 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003d
    13427000 |      945 |    0 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003e
    13429000 |      947 |    0 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003f
    13437000 |      953 |    0 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00003f
[13437000] INFO: Row Change (cycle=953, total=1)
    13439000 |      955 |    1 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000040
    13497000 |     1001 |    1 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000041
    13512000 |     1013 |    1 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000042
    13514000 |     1015 |    1 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000043
    13522000 |     1021 |    1 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000044
    13582000 |     1069 |    1 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000045
    13597000 |     1081 |    1 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000046
    13599000 |     1083 |    1 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000047
    13607000 |     1089 |    1 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000048
    13667000 |     1137 |    1 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000049
    13682000 |     1149 |    1 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004a
    13684000 |     1151 |    1 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004b
    13692000 |     1157 |    1 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004c
    13752000 |     1205 |    1 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004d
    13767000 |     1217 |    1 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004e
    13769000 |     1219 |    1 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004f
    13777000 |     1225 |    1 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000050
    13837000 |     1273 |    1 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000051
    13852000 |     1285 |    1 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000052
    13854000 |     1287 |    1 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000053
    13862000 |     1293 |    1 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000054
    13922000 |     1341 |    1 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000055
    13937000 |     1353 |    1 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000056
    13939000 |     1355 |    1 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000057
    13947000 |     1361 |    1 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000058
    14007000 |     1409 |    1 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000059
    14022000 |     1421 |    1 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005a
    14024000 |     1423 |    1 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005b
    14032000 |     1429 |    1 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005c
    14092000 |     1477 |    1 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005d
    14107000 |     1489 |    1 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005e
    14109000 |     1491 |    1 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005f
    14117000 |     1497 |    1 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000060
    14177000 |     1545 |    1 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000061
    14192000 |     1557 |    1 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000062
    14194000 |     1559 |    1 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000063
    14202000 |     1565 |    1 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000064
    14262000 |     1613 |    1 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000065
    14277000 |     1625 |    1 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000066
    14279000 |     1627 |    1 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000067
    14287000 |     1633 |    1 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000068
    14347000 |     1681 |    1 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000069
    14362000 |     1693 |    1 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006a
    14364000 |     1695 |    1 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006b
    14372000 |     1701 |    1 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006c
    14432000 |     1749 |    1 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006d
    14447000 |     1761 |    1 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006e
    14449000 |     1763 |    1 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006f
    14457000 |     1769 |    1 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000070
    14517000 |     1817 |    1 |  49 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000071
    14532000 |     1829 |    1 |  50 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000072
    14534000 |     1831 |    1 |  51 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000073
    14542000 |     1837 |    1 |  52 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000074
    14602000 |     1885 |    1 |  53 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000075
    14617000 |     1897 |    1 |  54 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000076
    14619000 |     1899 |    1 |  55 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000077
    14627000 |     1905 |    1 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000078
    14687000 |     1953 |    1 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000079
    14702000 |     1965 |    1 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007a
    14704000 |     1967 |    1 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007b
    14712000 |     1973 |    1 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007c
    14772000 |     2021 |    1 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007d
    14787000 |     2033 |    1 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007e
    14789000 |     2035 |    1 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007f
    14797000 |     2041 |    1 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00007f
[14797000] INFO: Row Change (cycle=2041, total=2)
    14799000 |     2043 |    2 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000080
    14857000 |     2089 |    2 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000081
    14872000 |     2101 |    2 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000082
    14874000 |     2103 |    2 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000083
    14882000 |     2109 |    2 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000084
    14942000 |     2157 |    2 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000085
