# Bank Frame Channel Monitor - Slice[0] Bank[2]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     7352000 |        0 |    0 |   0 | 1(W) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000000
     7354000 |        0 |    0 |   1 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000001
     7377000 |        0 |    0 |   2 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
     7379000 |        0 |    0 |   3 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
     7382000 |        0 |    0 |   4 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
     7384000 |        0 |    0 |   5 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
     7387000 |        0 |    0 |   6 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
     7389000 |        0 |    0 |   7 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
     7392000 |        0 |    0 |   8 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
     7394000 |        0 |    0 |   9 | 1(W) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
     7479000 |        0 |    0 |   9 | 1(W) | 0 | 1 | 0x00000000000000000000000000000000 | 0x000009
[7479000] INFO: Row Change (cycle=0, total=1)
     7482000 |        0 |    0 |   0 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000000
     7484000 |        0 |    0 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000001
     7494000 |        0 |    0 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
     7497000 |        0 |    0 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
     7499000 |        0 |    0 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
     7502000 |        0 |    0 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
     7504000 |        0 |    0 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
     7507000 |        0 |    0 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
     7509000 |        0 |    0 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
     7512000 |        0 |    0 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
[12244000] INFO: slice start (cycle=0)
    12269000 |       19 |    0 |   0 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000000
    12272000 |       21 |    0 |   4 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000004
    12274000 |       23 |    0 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000001
    12277000 |       25 |    0 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000005
    12279000 |       27 |    0 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000002
    12282000 |       29 |    0 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000006
    12284000 |       31 |    0 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000003
    12287000 |       33 |    0 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000007
    12289000 |       35 |    0 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000008
    12292000 |       37 |    0 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000c
    12294000 |       39 |    0 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000009
    12297000 |       41 |    0 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000d
    12299000 |       43 |    0 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000a
    12302000 |       45 |    0 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000e
    12304000 |       47 |    0 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000b
    12307000 |       49 |    0 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000f
    12309000 |       51 |    0 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000010
    12312000 |       53 |    0 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000014
    12317000 |       57 |    0 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000011
    12319000 |       59 |    0 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000015
    12322000 |       61 |    0 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000012
    12324000 |       63 |    0 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000016
    12327000 |       65 |    0 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000013
    12329000 |       67 |    0 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000017
    12337000 |       73 |    0 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
    12339000 |       75 |    0 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001c
    12342000 |       77 |    0 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000019
    12344000 |       79 |    0 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001d
    12359000 |       91 |    0 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001a
    12362000 |       93 |    0 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001b
    12379000 |      107 |    0 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001e
    12382000 |      109 |    0 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001f
    12394000 |      119 |    0 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000020
    12397000 |      121 |    0 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000024
    12399000 |      123 |    0 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000021
    12402000 |      125 |    0 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000025
    12404000 |      127 |    0 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000022
    12407000 |      129 |    0 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000023
    12422000 |      141 |    0 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000026
    12424000 |      143 |    0 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000027
    12437000 |      153 |    0 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000028
    12439000 |      155 |    0 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002c
    12442000 |      157 |    0 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000029
    12444000 |      159 |    0 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002d
    12447000 |      161 |    0 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002a
    12449000 |      163 |    0 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002b
    12464000 |      175 |    0 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002e
    12467000 |      177 |    0 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002f
    12479000 |      187 |    0 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000030
    12482000 |      189 |    0 |  52 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000034
    12484000 |      191 |    0 |  49 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000031
    12487000 |      193 |    0 |  53 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000035
    12489000 |      195 |    0 |  50 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000032
    12492000 |      197 |    0 |  51 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000033
    12507000 |      209 |    0 |  54 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000036
    12509000 |      211 |    0 |  55 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000037
    12522000 |      221 |    0 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000038
    12524000 |      223 |    0 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003c
    12527000 |      225 |    0 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000039
    12529000 |      227 |    0 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003d
    12532000 |      229 |    0 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003a
    12534000 |      231 |    0 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003b
    12549000 |      243 |    0 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003e
    12552000 |      245 |    0 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003f
    12564000 |      255 |    0 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00003f
[12564000] INFO: Row Change (cycle=255, total=1)
    12567000 |      257 |    1 |   4 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000044
    12582000 |      269 |    1 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000045
    12604000 |      287 |    1 |   0 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000040
    12607000 |      289 |    1 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000046
    12609000 |      291 |    1 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000041
    12612000 |      293 |    1 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000047
    12614000 |      295 |    1 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000042
    12617000 |      297 |    1 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004c
    12619000 |      299 |    1 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000043
    12622000 |      301 |    1 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004d
    12624000 |      303 |    1 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000048
    12627000 |      305 |    1 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000049
    12629000 |      307 |    1 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004a
    12632000 |      309 |    1 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004b
    12634000 |      311 |    1 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004e
    12637000 |      313 |    1 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00004f
    12649000 |      323 |    1 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000050
    12652000 |      325 |    1 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000054
    12654000 |      327 |    1 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000051
    12657000 |      329 |    1 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000055
    12659000 |      331 |    1 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000052
    12662000 |      333 |    1 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000053
    12677000 |      345 |    1 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000056
    12679000 |      347 |    1 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000057
    12692000 |      357 |    1 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000058
    12694000 |      359 |    1 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005c
    12697000 |      361 |    1 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000059
    12699000 |      363 |    1 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005d
    12702000 |      365 |    1 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005a
    12704000 |      367 |    1 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005b
    12719000 |      379 |    1 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005e
    12722000 |      381 |    1 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005f
    12734000 |      391 |    1 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000060
    12737000 |      393 |    1 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000064
    12739000 |      395 |    1 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000061
    12742000 |      397 |    1 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000065
    12744000 |      399 |    1 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000062
    12747000 |      401 |    1 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000063
    12762000 |      413 |    1 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000066
    12764000 |      415 |    1 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000067
    12777000 |      425 |    1 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000068
    12779000 |      427 |    1 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006c
    12782000 |      429 |    1 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000069
    12784000 |      431 |    1 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006d
    12787000 |      433 |    1 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006a
    12789000 |      435 |    1 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006b
    12804000 |      447 |    1 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006e
    12807000 |      449 |    1 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006f
    12819000 |      459 |    1 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000070
    12822000 |      461 |    1 |  52 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000074
    12824000 |      463 |    1 |  49 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000071
    12827000 |      465 |    1 |  53 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000075
    12829000 |      467 |    1 |  50 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000072
    12832000 |      469 |    1 |  51 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000073
    12847000 |      481 |    1 |  54 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000076
    12849000 |      483 |    1 |  55 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000077
    12862000 |      493 |    1 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000078
    12864000 |      495 |    1 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007c
    12867000 |      497 |    1 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000079
    12869000 |      499 |    1 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007d
    12872000 |      501 |    1 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007a
    12874000 |      503 |    1 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007b
    12889000 |      515 |    1 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007e
    12892000 |      517 |    1 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007f
    12904000 |      527 |    1 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00007f
[12904000] INFO: Row Change (cycle=527, total=2)
    12907000 |      529 |    2 |   4 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000084
    12922000 |      541 |    2 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000085
    12944000 |      559 |    2 |   0 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000080
    12947000 |      561 |    2 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000086
    12949000 |      563 |    2 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000081
    12952000 |      565 |    2 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000087
    12954000 |      567 |    2 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000082
    12957000 |      569 |    2 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008c
    12959000 |      571 |    2 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000083
    12962000 |      573 |    2 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008d
    12964000 |      575 |    2 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000088
    12967000 |      577 |    2 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000089
    12969000 |      579 |    2 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008a
    12972000 |      581 |    2 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008b
    12974000 |      583 |    2 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008e
    12977000 |      585 |    2 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008f
    12989000 |      595 |    2 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000090
    12992000 |      597 |    2 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000094
    12994000 |      599 |    2 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000091
    12997000 |      601 |    2 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000095
    12999000 |      603 |    2 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000092
    13002000 |      605 |    2 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000093
    13017000 |      617 |    2 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000096
    13019000 |      619 |    2 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000097
    13032000 |      629 |    2 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000098
