# Hub Local Request Monitor - Slice[0] Bank[3]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[12244000] INFO: slice start (cycle=0)
    12269000 |     3 | 0x180000 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12272000 |     5 | 0x180004 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12294000 |     3 | 0x180001 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12297000 |     5 | 0x180005 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12299000 |     3 | 0x180002 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12302000 |     5 | 0x180006 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12304000 |     3 | 0x180003 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12307000 |     5 | 0x180007 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12309000 |     3 | 0x180008 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12312000 |     5 | 0x18000c |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12314000 |     3 | 0x180009 |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12317000 |     5 | 0x18000d |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12319000 |     3 | 0x18000a |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12322000 |     5 | 0x18000e |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12324000 |     3 | 0x18000b |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
    12327000 |     5 | 0x18000f |                0 |               1 | NON_WRITE_REQ | 0b0000101000 | 0b1100000000
