# Hub Local Request Monitor - Slice[0] Bank[3]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[13329000] INFO: slice start (cycle=0)
    13614000 |     8 | 0x180000 |                1 |               0 | WRITE_NO_VALID_READ | 0b0100000000 | 0b1100000000
    13617000 |     8 | 0x180002 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13639000 |     9 | 0x180001 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13642000 |     8 | 0x180004 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13644000 |     9 | 0x180003 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13647000 |     8 | 0x180006 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13649000 |     9 | 0x180005 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13652000 |     8 | 0x180008 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13654000 |     9 | 0x180007 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13657000 |     8 | 0x18000a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13659000 |     9 | 0x180009 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13662000 |     8 | 0x18000c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13664000 |     9 | 0x18000b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13667000 |     8 | 0x18000e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13669000 |     9 | 0x18000d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13672000 |     8 | 0x180010 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13674000 |     9 | 0x18000f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13677000 |     8 | 0x180012 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13679000 |     9 | 0x180011 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13682000 |     8 | 0x180014 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13684000 |     9 | 0x180013 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13687000 |     8 | 0x180016 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13689000 |     9 | 0x180015 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13692000 |     8 | 0x180018 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13694000 |     9 | 0x180017 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13697000 |     8 | 0x18001a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13699000 |     9 | 0x180019 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13702000 |     8 | 0x18001c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13704000 |     9 | 0x18001b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13707000 |     8 | 0x18001e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13709000 |     9 | 0x18001d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13712000 |     8 | 0x180020 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13714000 |     9 | 0x18001f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13717000 |     8 | 0x180022 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13719000 |     9 | 0x180021 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13722000 |     8 | 0x180024 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
