# Bank Frame Channel Monitor - Slice[0] Bank[0]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     6827000 |        0 |   31 |   0 | 1(W) | 1 | 0 | 0x3c0000707ffffff800000007fffffff9 | 0x0007c0
     6829000 |        0 |   31 |   1 | 1(W) | 0 | 0 | 0x0300080040440014030004004044000c | 0x0007c1
     6852000 |        0 |   31 |   2 | 1(W) | 0 | 0 | 0x030010004044002403000c004044001c | 0x0007c2
     6854000 |        0 |   31 |   3 | 1(W) | 0 | 0 | 0x0300180040440034030014004044002c | 0x0007c3
     6857000 |        0 |   31 |   4 | 1(W) | 0 | 0 | 0x030020004044004403001c004044003c | 0x0007c4
     6859000 |        0 |   31 |   5 | 1(W) | 0 | 0 | 0x0300280040440054030024004044004c | 0x0007c5
     6862000 |        0 |   31 |   6 | 1(W) | 0 | 0 | 0x030030004044006403002c004044005c | 0x0007c6
     6864000 |        0 |   31 |   7 | 1(W) | 0 | 0 | 0x0300380040440074030034004044006c | 0x0007c7
     6867000 |        0 |   31 |   8 | 1(W) | 0 | 0 | 0x030040004044008403003c004044007c | 0x0007c8
     6869000 |        0 |   31 |   9 | 1(W) | 0 | 0 | 0x0300480040440094030044004044008c | 0x0007c9
     6872000 |        0 |   31 |  10 | 1(W) | 0 | 0 | 0x03005000404400a403004c004044009c | 0x0007ca
     6874000 |        0 |   31 |  11 | 1(W) | 0 | 0 | 0x03005800404400b403005400404400ac | 0x0007cb
     6877000 |        0 |   31 |  12 | 1(W) | 0 | 0 | 0x03006000404400c403005c00404400bc | 0x0007cc
     6879000 |        0 |   31 |  13 | 1(W) | 0 | 0 | 0x03006800404400d403006400404400cc | 0x0007cd
     6882000 |        0 |   31 |  14 | 1(W) | 0 | 0 | 0x0400000740c0000403006c00404400dc | 0x0007ce
     6884000 |        0 |   31 |  15 | 1(W) | 0 | 0 | 0x0400000740c0000c0300000040c40004 | 0x0007cf
     6887000 |        0 |   31 |  16 | 1(W) | 0 | 0 | 0x0400000740c000140300040040c4000c | 0x0007d0
     6889000 |        0 |   31 |  17 | 1(W) | 0 | 0 | 0x0400000740c0001c0300080040c40014 | 0x0007d1
     6892000 |        0 |   31 |  18 | 1(W) | 0 | 0 | 0x0400000740c0002403000c0040c4001c | 0x0007d2
     6894000 |        0 |   31 |  19 | 1(W) | 0 | 0 | 0x0400000740c0002c0300100040c40024 | 0x0007d3
     6897000 |        0 |   31 |  20 | 1(W) | 0 | 0 | 0x0400000740c000340300140040c4002c | 0x0007d4
     6899000 |        0 |   31 |  21 | 1(W) | 0 | 0 | 0x0400000740c0003c0300180040c40034 | 0x0007d5
     6902000 |        0 |   31 |  22 | 1(W) | 0 | 0 | 0x0400000740c0004403001c0040c4003c | 0x0007d6
     6904000 |        0 |   31 |  23 | 1(W) | 0 | 0 | 0x0400000740c0004c0300200040c40044 | 0x0007d7
     6907000 |        0 |   31 |  24 | 1(W) | 0 | 0 | 0x0400000740c000540300240040c4004c | 0x0007d8
     6909000 |        0 |   31 |  25 | 1(W) | 0 | 0 | 0x0400000740c0005c0300280040c40054 | 0x0007d9
     6912000 |        0 |   31 |  26 | 1(W) | 0 | 0 | 0x0400000740c0006403002c0040c4005c | 0x0007da
     6914000 |        0 |   31 |  27 | 1(W) | 0 | 0 | 0x0400000740c0006c0300300040c40064 | 0x0007db
     6917000 |        0 |   31 |  28 | 1(W) | 0 | 0 | 0x0400000740c000740300340040c4006c | 0x0007dc
     6919000 |        0 |   31 |  29 | 1(W) | 0 | 0 | 0x0400000740c0007c0300380040c40074 | 0x0007dd
     6922000 |        0 |   31 |  30 | 1(W) | 0 | 0 | 0x0400000740c0008403003c0040c4007c | 0x0007de
     6924000 |        0 |   31 |  31 | 1(W) | 0 | 0 | 0x0400000740c0008c0300400040c40084 | 0x0007df
     6927000 |        0 |   31 |  32 | 1(W) | 0 | 0 | 0x0400000740c000940300440040c4008c | 0x0007e0
     6929000 |        0 |   31 |  33 | 1(W) | 0 | 0 | 0x0400000740c0009c0300480040c40094 | 0x0007e1
     6932000 |        0 |   31 |  34 | 1(W) | 0 | 0 | 0x0400000740c000a403004c0040c4009c | 0x0007e2
     6934000 |        0 |   31 |  35 | 1(W) | 0 | 0 | 0x0400000740c000ac0300500040c400a4 | 0x0007e3
     6937000 |        0 |   31 |  36 | 1(W) | 0 | 0 | 0x0400000740c000b40300540040c400ac | 0x0007e4
     6939000 |        0 |   31 |  37 | 1(W) | 0 | 0 | 0x0400000740c000bc0300580040c400b4 | 0x0007e5
     6942000 |        0 |   31 |  38 | 1(W) | 0 | 0 | 0x0400000740c000c403005c0040c400bc | 0x0007e6
     6944000 |        0 |   31 |  39 | 1(W) | 0 | 0 | 0x0400000740c000cc0300600040c400c4 | 0x0007e7
     6947000 |        0 |   31 |  40 | 1(W) | 0 | 0 | 0x0400000740c000d40300640040c400cc | 0x0007e8
     6949000 |        0 |   31 |  41 | 1(W) | 0 | 0 | 0x0400000740c000dc0300680040c400d4 | 0x0007e9
     6952000 |        0 |   31 |  42 | 1(W) | 0 | 0 | 0x180000025034000403006c0040c400dc | 0x0007ea
     6954000 |        0 |   31 |  43 | 1(W) | 0 | 0 | 0x1800400250340014180020025034000c | 0x0007eb
     6957000 |        0 |   31 |  44 | 1(W) | 0 | 0 | 0x1800800250340024180060025034001c | 0x0007ec
     6959000 |        0 |   31 |  45 | 1(W) | 0 | 0 | 0x1800c002503400341800a0025034002c | 0x0007ed
     6962000 |        0 |   31 |  46 | 1(W) | 0 | 0 | 0x18010002503400441800e0025034003c | 0x0007ee
     6964000 |        0 |   31 |  47 | 1(W) | 0 | 0 | 0x1801400250340054180120025034004c | 0x0007ef
     6967000 |        0 |   31 |  48 | 1(W) | 0 | 0 | 0x1801800250340064180160025034005c | 0x0007f0
     6969000 |        0 |   31 |  49 | 1(W) | 0 | 0 | 0x1801c002503400741801a0025034006c | 0x0007f1
     6972000 |        0 |   31 |  50 | 1(W) | 0 | 0 | 0x18020002503400841801e0025034007c | 0x0007f2
     6974000 |        0 |   31 |  51 | 1(W) | 0 | 0 | 0x1802400250340094180220025034008c | 0x0007f3
     6977000 |        0 |   31 |  52 | 1(W) | 0 | 0 | 0x18028002503400a4180260025034009c | 0x0007f4
     6979000 |        0 |   31 |  53 | 1(W) | 0 | 0 | 0x1802c002503400b41802a002503400ac | 0x0007f5
     6982000 |        0 |   31 |  54 | 1(W) | 0 | 0 | 0x18030002503400c41802e002503400bc | 0x0007f6
     6984000 |        0 |   31 |  55 | 1(W) | 0 | 0 | 0x18034002503400d418032002503400cc | 0x0007f7
     6987000 |        0 |   31 |  56 | 1(W) | 0 | 0 | 0x002002010100000418036002503400dc | 0x0007f8
     6989000 |        0 |   31 |  57 | 1(W) | 0 | 0 | 0x0020020101000014002002010100000c | 0x0007f9
     6992000 |        0 |   31 |  58 | 1(W) | 0 | 0 | 0x0020020101000024002002010100001c | 0x0007fa
     6994000 |        0 |   31 |  59 | 1(W) | 0 | 0 | 0x0020020101000034002002010100002c | 0x0007fb
     6997000 |        0 |   31 |  60 | 1(W) | 0 | 0 | 0x0020020101000044002002010100003c | 0x0007fc
     6999000 |        0 |   31 |  61 | 1(W) | 0 | 0 | 0x0020020101000054002002010100004c | 0x0007fd
     7002000 |        0 |   31 |  62 | 1(W) | 0 | 0 | 0x0020020101000064002002010100005c | 0x0007fe
     7004000 |        0 |   31 |  63 | 1(W) | 0 | 0 | 0x0020020101000074002002010100006c | 0x0007ff
     7007000 |        0 |   31 |  63 | 1(W) | 0 | 1 | 0x0020020101000074002002010100006c | 0x0007ff
[7007000] INFO: Row Change (cycle=0, total=1)
     7009000 |        0 |   32 |   0 | 1(W) | 1 | 0 | 0x0020020101000084002002010100007c | 0x000800
     7042000 |        0 |   32 |   1 | 1(W) | 0 | 0 | 0x0020020101000094002002010100008c | 0x000801
     7064000 |        0 |   32 |   2 | 1(W) | 0 | 0 | 0x00200201010000a4002002010100009c | 0x000802
     7067000 |        0 |   32 |   3 | 1(W) | 0 | 0 | 0x00200201010000b400200201010000ac | 0x000803
     7069000 |        0 |   32 |   4 | 1(W) | 0 | 0 | 0x00200201010000c400200201010000bc | 0x000804
     7072000 |        0 |   32 |   5 | 1(W) | 0 | 0 | 0x00200201010000d400200201010000cc | 0x000805
     7074000 |        0 |   32 |   6 | 1(W) | 0 | 0 | 0x002002010180000400200201010000dc | 0x000806
     7077000 |        0 |   32 |   7 | 1(W) | 0 | 0 | 0x0020020101800014002002010180000c | 0x000807
     7079000 |        0 |   32 |   8 | 1(W) | 0 | 0 | 0x0020020101800024002002010180001c | 0x000808
     7082000 |        0 |   32 |   9 | 1(W) | 0 | 0 | 0x0020020101800034002002010180002c | 0x000809
     7084000 |        0 |   32 |  10 | 1(W) | 0 | 0 | 0x0020020101800044002002010180003c | 0x00080a
     7087000 |        0 |   32 |  11 | 1(W) | 0 | 0 | 0x0020020101800054002002010180004c | 0x00080b
     7089000 |        0 |   32 |  12 | 1(W) | 0 | 0 | 0x0020020101800064002002010180005c | 0x00080c
     7092000 |        0 |   32 |  13 | 1(W) | 0 | 0 | 0x0020020101800074002002010180006c | 0x00080d
     7094000 |        0 |   32 |  14 | 1(W) | 0 | 0 | 0x0020020101800084002002010180007c | 0x00080e
     7097000 |        0 |   32 |  15 | 1(W) | 0 | 0 | 0x0020020101800094002002010180008c | 0x00080f
     7099000 |        0 |   32 |  16 | 1(W) | 0 | 0 | 0x00200201018000a4002002010180009c | 0x000810
     7102000 |        0 |   32 |  17 | 1(W) | 0 | 0 | 0x00200201018000b400200201018000ac | 0x000811
     7104000 |        0 |   32 |  18 | 1(W) | 0 | 0 | 0x00200201018000c400200201018000bc | 0x000812
     7107000 |        0 |   32 |  19 | 1(W) | 0 | 0 | 0x00200201018000d400200201018000cc | 0x000813
     7109000 |        0 |   32 |  20 | 1(W) | 0 | 0 | 0x002002010300000400200201018000dc | 0x000814
     7112000 |        0 |   32 |  21 | 1(W) | 0 | 0 | 0x0020020103000014002002010300000c | 0x000815
     7114000 |        0 |   32 |  22 | 1(W) | 0 | 0 | 0x0020020103000024002002010300001c | 0x000816
     7117000 |        0 |   32 |  23 | 1(W) | 0 | 0 | 0x0020020103000034002002010300002c | 0x000817
     7119000 |        0 |   32 |  24 | 1(W) | 0 | 0 | 0x0020020103000044002002010300003c | 0x000818
     7122000 |        0 |   32 |  25 | 1(W) | 0 | 0 | 0x0020020103000054002002010300004c | 0x000819
     7124000 |        0 |   32 |  26 | 1(W) | 0 | 0 | 0x0020020103000064002002010300005c | 0x00081a
     7127000 |        0 |   32 |  27 | 1(W) | 0 | 0 | 0x0020020103000074002002010300006c | 0x00081b
     7129000 |        0 |   32 |  28 | 1(W) | 0 | 0 | 0x0020020103000084002002010300007c | 0x00081c
     7132000 |        0 |   32 |  29 | 1(W) | 0 | 0 | 0x0020020103000094002002010300008c | 0x00081d
     7134000 |        0 |   32 |  30 | 1(W) | 0 | 0 | 0x00200201030000a4002002010300009c | 0x00081e
     7137000 |        0 |   32 |  31 | 1(W) | 0 | 0 | 0x00200201030000b400200201030000ac | 0x00081f
     7139000 |        0 |   32 |  32 | 1(W) | 0 | 0 | 0x00200201030000c400200201030000bc | 0x000820
     7142000 |        0 |   32 |  33 | 1(W) | 0 | 0 | 0x00200201030000d400200201030000cc | 0x000821
     7144000 |        0 |   32 |  34 | 1(W) | 0 | 0 | 0x000100024038000400200201030000dc | 0x000822
     7147000 |        0 |   32 |  35 | 1(W) | 0 | 0 | 0x0001000240380014000100024038000c | 0x000823
     7149000 |        0 |   32 |  36 | 1(W) | 0 | 0 | 0x0001000240380024000100024038001c | 0x000824
     7152000 |        0 |   32 |  37 | 1(W) | 0 | 0 | 0x0001000240380034000100024038002c | 0x000825
     7154000 |        0 |   32 |  38 | 1(W) | 0 | 0 | 0x0001000240380044000100024038003c | 0x000826
     7157000 |        0 |   32 |  39 | 1(W) | 0 | 0 | 0x0001000240380054000100024038004c | 0x000827
     7159000 |        0 |   32 |  40 | 1(W) | 0 | 0 | 0x0001000240380064000100024038005c | 0x000828
     7162000 |        0 |   32 |  41 | 1(W) | 0 | 0 | 0x0001000240380074000100024038006c | 0x000829
     7164000 |        0 |   32 |  42 | 1(W) | 0 | 0 | 0x0001000240380084000100024038007c | 0x00082a
     7167000 |        0 |   32 |  43 | 1(W) | 0 | 0 | 0x0001000240380094000100024038008c | 0x00082b
     7169000 |        0 |   32 |  44 | 1(W) | 0 | 0 | 0x00010002403800a4000100024038009c | 0x00082c
     7172000 |        0 |   32 |  45 | 1(W) | 0 | 0 | 0x00010002403800b400010002403800ac | 0x00082d
     7174000 |        0 |   32 |  46 | 1(W) | 0 | 0 | 0x00010002403800c400010002403800bc | 0x00082e
     7177000 |        0 |   32 |  47 | 1(W) | 0 | 0 | 0x00010002403800d400010002403800cc | 0x00082f
     7179000 |        0 |   32 |  48 | 1(W) | 0 | 0 | 0x0001000240b8000400010002403800dc | 0x000830
     7182000 |        0 |   32 |  49 | 1(W) | 0 | 0 | 0x0001000240b800140001000240b8000c | 0x000831
     7184000 |        0 |   32 |  50 | 1(W) | 0 | 0 | 0x0001000240b800240001000240b8001c | 0x000832
     7187000 |        0 |   32 |  51 | 1(W) | 0 | 0 | 0x0001000240b800340001000240b8002c | 0x000833
     7189000 |        0 |   32 |  52 | 1(W) | 0 | 0 | 0x0001000240b800440001000240b8003c | 0x000834
     7192000 |        0 |   32 |  53 | 1(W) | 0 | 0 | 0x0001000240b800540001000240b8004c | 0x000835
     7194000 |        0 |   32 |  54 | 1(W) | 0 | 0 | 0x0001000240b800640001000240b8005c | 0x000836
     7197000 |        0 |   32 |  55 | 1(W) | 0 | 0 | 0x0001000240b800740001000240b8006c | 0x000837
     7199000 |        0 |   32 |  56 | 1(W) | 0 | 0 | 0x0001000240b800840001000240b8007c | 0x000838
     7202000 |        0 |   32 |  57 | 1(W) | 0 | 0 | 0x0001000240b800940001000240b8008c | 0x000839
     7204000 |        0 |   32 |  58 | 1(W) | 0 | 0 | 0x0001000240b800a40001000240b8009c | 0x00083a
     7207000 |        0 |   32 |  59 | 1(W) | 0 | 0 | 0x0001000240b800b40001000240b800ac | 0x00083b
     7209000 |        0 |   32 |  60 | 1(W) | 0 | 0 | 0x0001000240b800c40001000240b800bc | 0x00083c
     7212000 |        0 |   32 |  61 | 1(W) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x00083d
     7214000 |        0 |   32 |  62 | 1(W) | 0 | 0 | 0x02000400502800040001000240b800dc | 0x00083e
     7217000 |        0 |   32 |  63 | 1(W) | 0 | 0 | 0x0200040050280014020004005028000c | 0x00083f
     7219000 |        0 |   32 |  63 | 1(W) | 0 | 1 | 0x0200040050280014020004005028000c | 0x00083f
[7219000] INFO: Row Change (cycle=0, total=2)
     7222000 |        0 |   33 |   0 | 1(W) | 1 | 0 | 0x0200040050280024020004005028001c | 0x000840
     7254000 |        0 |   33 |   1 | 1(W) | 0 | 0 | 0x0200040050280034020004005028002c | 0x000841
     7277000 |        0 |   33 |   2 | 1(W) | 0 | 0 | 0x0200040050280044020004005028003c | 0x000842
     7279000 |        0 |   33 |   3 | 1(W) | 0 | 0 | 0x0200040050280054020004005028004c | 0x000843
     7282000 |        0 |   33 |   4 | 1(W) | 0 | 0 | 0x0200040050280064020004005028005c | 0x000844
     7284000 |        0 |   33 |   5 | 1(W) | 0 | 0 | 0x0200040050280074020004005028006c | 0x000845
     7287000 |        0 |   33 |   6 | 1(W) | 0 | 0 | 0x0200040050280084020004005028007c | 0x000846
     7289000 |        0 |   33 |   7 | 1(W) | 0 | 0 | 0x0200040050280094020004005028008c | 0x000847
     7292000 |        0 |   33 |   8 | 1(W) | 0 | 0 | 0x02000400502800a4020004005028009c | 0x000848
     7294000 |        0 |   33 |   9 | 1(W) | 0 | 0 | 0x02000400502800b402000400502800ac | 0x000849
     7297000 |        0 |   33 |  10 | 1(W) | 0 | 0 | 0x02000400502800c402000400502800bc | 0x00084a
     7299000 |        0 |   33 |  11 | 1(W) | 0 | 0 | 0x02000400502800d402000400502800cc | 0x00084b
     7302000 |        0 |   33 |  12 | 1(W) | 0 | 0 | 0x000000007ffffffd02000400502800dc | 0x00084c
     7319000 |        0 |   33 |  12 | 1(W) | 0 | 1 | 0x000000007ffffffd02000400502800dc | 0x00084c
[7319000] INFO: Row Change (cycle=0, total=3)
     7322000 |        0 |   31 |   0 | 0(R) | 1 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c0
     7354000 |        0 |   31 |   1 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c1
     7377000 |        0 |   31 |   2 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c2
     7379000 |        0 |   31 |   3 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c3
     7382000 |        0 |   31 |   4 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c4
     7384000 |        0 |   31 |   5 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c5
     7387000 |        0 |   31 |   6 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c6
     7389000 |        0 |   31 |   7 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c7
     7392000 |        0 |   31 |   8 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c8
     7394000 |        0 |   31 |   9 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007c9
     7397000 |        0 |   31 |  10 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007ca
     7399000 |        0 |   31 |  11 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007cb
     7402000 |        0 |   31 |  12 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007cc
     7404000 |        0 |   31 |  13 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007cd
     7407000 |        0 |   31 |  14 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007ce
     7409000 |        0 |   31 |  15 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007cf
     7412000 |        0 |   31 |  16 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007d0
     7414000 |        0 |   31 |  17 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007d1
     7417000 |        0 |   31 |  18 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007d2
     7419000 |        0 |   31 |  19 | 0(R) | 0 | 0 | 0x0001000240b800d40001000240b800cc | 0x0007d3
