# Hub Local Request Monitor - Slice[0] Bank[0]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[356121000] INFO: slice start (cycle=0)
   356137000 |     3 | 0x101 |                0 |               1 | NON_WRITE_REQ | 0b0000001101 | 0b1100000000
   356152000 |     3 | 0x103 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356174000 |     2 | 0x100 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356177000 |     3 | 0x105 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356179000 |     2 | 0x102 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356182000 |     3 | 0x107 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356184000 |     2 | 0x104 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356187000 |     3 | 0x109 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356189000 |     2 | 0x106 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356192000 |     3 | 0x10b |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356194000 |     2 | 0x108 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356197000 |     3 | 0x10d |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356199000 |     2 | 0x10a |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356202000 |     3 | 0x10f |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356204000 |     2 | 0x10c |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356207000 |     3 | 0x111 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356209000 |     2 | 0x10e |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356212000 |     3 | 0x113 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356214000 |     2 | 0x110 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356217000 |     3 | 0x115 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356219000 |     2 | 0x112 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356222000 |     3 | 0x117 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356224000 |     2 | 0x114 |                0 |               1 | NON_WRITE_REQ | 0b0000000111 | 0b1100000000
   356227000 |     2 | 0x116 |                0 |               1 | NON_WRITE_REQ | 0b0000000111 | 0b1100000000
   356232000 |     1 | 0x1 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356247000 |     1 | 0x3 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356269000 |     0 | 0x0 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356272000 |     1 | 0x5 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356274000 |     0 | 0x2 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356277000 |     1 | 0x7 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356279000 |     0 | 0x4 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356282000 |     1 | 0x9 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356284000 |     0 | 0x6 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356287000 |     1 | 0xb |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356289000 |     0 | 0x8 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356292000 |     1 | 0xd |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356294000 |     0 | 0xa |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356297000 |     1 | 0xf |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356299000 |     0 | 0xc |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356302000 |     1 | 0x11 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356304000 |     0 | 0xe |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   356307000 |     1 | 0x13 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356309000 |     0 | 0x10 |                0 |               1 | NON_WRITE_REQ | 0b0100001111 | 0b1100000000
   356312000 |     1 | 0x15 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356314000 |     0 | 0x12 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356317000 |     1 | 0x17 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356319000 |     0 | 0x14 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356322000 |     1 | 0x19 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356324000 |     0 | 0x16 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356327000 |     1 | 0x1b |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356329000 |     0 | 0x18 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356332000 |     1 | 0x1d |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356334000 |     0 | 0x1a |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356337000 |     1 | 0x1f |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356339000 |     0 | 0x1c |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356342000 |     1 | 0x21 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356344000 |     0 | 0x1e |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356347000 |     1 | 0x23 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356349000 |     0 | 0x20 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356352000 |     1 | 0x25 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356354000 |     0 | 0x22 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356357000 |     1 | 0x27 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356359000 |     0 | 0x24 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356362000 |     1 | 0x29 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356364000 |     0 | 0x26 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356367000 |     1 | 0x2b |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356369000 |     0 | 0x28 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356372000 |     1 | 0x2d |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356374000 |     0 | 0x2a |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356377000 |     1 | 0x2f |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356379000 |     0 | 0x2c |                0 |               1 | NON_WRITE_REQ | 0b1100001101 | 0b1100000000
   356382000 |     0 | 0x2e |                0 |               1 | NON_WRITE_REQ | 0b1100001101 | 0b1100000000
   356387000 |     3 | 0x119 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356402000 |     3 | 0x11b |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356424000 |     2 | 0x118 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356427000 |     3 | 0x11d |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356429000 |     2 | 0x11a |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356432000 |     3 | 0x11f |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356434000 |     2 | 0x11c |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356437000 |     3 | 0x121 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356439000 |     2 | 0x11e |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356442000 |     3 | 0x123 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356444000 |     2 | 0x120 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356447000 |     3 | 0x125 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356449000 |     2 | 0x122 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356452000 |     3 | 0x127 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356454000 |     2 | 0x124 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356457000 |     3 | 0x129 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356459000 |     2 | 0x126 |                0 |               1 | NON_WRITE_REQ | 0b1100001100 | 0b1100000000
   356462000 |     3 | 0x12b |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356464000 |     2 | 0x128 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356467000 |     3 | 0x12d |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356469000 |     2 | 0x12a |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356472000 |     3 | 0x12f |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356474000 |     2 | 0x12c |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356477000 |     3 | 0x131 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356479000 |     2 | 0x12e |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356482000 |     3 | 0x133 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356484000 |     2 | 0x130 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356487000 |     3 | 0x135 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356489000 |     2 | 0x132 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356492000 |     3 | 0x137 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356494000 |     2 | 0x134 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356497000 |     3 | 0x139 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356499000 |     2 | 0x136 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356502000 |     3 | 0x13b |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356504000 |     2 | 0x138 |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356507000 |     3 | 0x13d |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356509000 |     2 | 0x13a |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356512000 |     3 | 0x13f |                0 |               1 | NON_WRITE_REQ | 0b1100001111 | 0b1100000000
   356514000 |     2 | 0x13c |                0 |               1 | NON_WRITE_REQ | 0b1100000111 | 0b1100000000
   356517000 |     2 | 0x13e |                0 |               1 | NON_WRITE_REQ | 0b1100000111 | 0b1100000000
   356522000 |     9 | 0x201 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356537000 |     9 | 0x203 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356559000 |     8 | 0x200 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356562000 |     9 | 0x205 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356564000 |     8 | 0x202 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356567000 |     9 | 0x207 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356569000 |     8 | 0x204 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356572000 |     9 | 0x209 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356574000 |     8 | 0x206 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356577000 |     9 | 0x20b |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356579000 |     8 | 0x208 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356582000 |     9 | 0x20d |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356584000 |     8 | 0x20a |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000011 | 0b1100000000
   356587000 |     9 | 0x20f |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100000111 | 0b1100000000
   356589000 |     8 | 0x20c |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356592000 |     9 | 0x211 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356594000 |     8 | 0x20e |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356597000 |     9 | 0x213 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356599000 |     8 | 0x210 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356602000 |     9 | 0x215 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356604000 |     8 | 0x212 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356607000 |     9 | 0x217 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356609000 |     8 | 0x214 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356612000 |     9 | 0x219 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356614000 |     8 | 0x216 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356617000 |     9 | 0x21b |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356619000 |     8 | 0x218 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356622000 |     9 | 0x21d |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356624000 |     8 | 0x21a |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356627000 |     9 | 0x21f |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356629000 |     8 | 0x21c |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356632000 |     9 | 0x221 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356634000 |     8 | 0x21e |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356637000 |     9 | 0x223 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356639000 |     8 | 0x220 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356642000 |     9 | 0x225 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356644000 |     8 | 0x222 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356647000 |     9 | 0x227 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356649000 |     8 | 0x224 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356652000 |     9 | 0x229 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356654000 |     8 | 0x226 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356657000 |     9 | 0x22b |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356659000 |     8 | 0x228 |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356662000 |     9 | 0x22d |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356664000 |     8 | 0x22a |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356667000 |     9 | 0x22f |                1 |               1 | WRITE_WITH_VALID_READ | 0b1100001111 | 0b1100000000
   356669000 |     8 | 0x22c |                1 |               1 | WRITE_WITH_VALID_READ | 0b0100001111 | 0b1100000000
   356672000 |     8 | 0x22e |                1 |               1 | WRITE_WITH_VALID_READ | 0b0100001111 | 0b1100000000
   356677000 |     1 | 0x31 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356709000 |     0 | 0x30 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356732000 |     1 | 0x33 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356734000 |     0 | 0x32 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356737000 |     1 | 0x35 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
   356739000 |     0 | 0x34 |                0 |               1 | NON_WRITE_REQ | 0b0000001111 | 0b1100000000
