# Bank Frame Channel Monitor - Slice[0] Bank[0]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
     6827000 |        0 |   18 |   0 | 1(W) | 1 | 0 | 0x430000447ffffff800000007fffffff9 | 0x000480
     6829000 |        0 |   18 |   1 | 1(W) | 0 | 0 | 0x037004004044000c0370000040440004 | 0x000481
     6852000 |        0 |   18 |   2 | 1(W) | 0 | 0 | 0x03700c004044001c0370080040440014 | 0x000482
     6854000 |        0 |   18 |   3 | 1(W) | 0 | 0 | 0x037014004044002c0370100040440024 | 0x000483
     6857000 |        0 |   18 |   4 | 1(W) | 0 | 0 | 0x03701c004044003c0370180040440034 | 0x000484
     6859000 |        0 |   18 |   5 | 1(W) | 0 | 0 | 0x037024004044004c0370200040440044 | 0x000485
     6862000 |        0 |   18 |   6 | 1(W) | 0 | 0 | 0x03702c004044005c0370280040440054 | 0x000486
     6864000 |        0 |   18 |   7 | 1(W) | 0 | 0 | 0x037034004044006c0370300040440064 | 0x000487
     6867000 |        0 |   18 |   8 | 1(W) | 0 | 0 | 0x03703c004044007c0370380040440074 | 0x000488
     6869000 |        0 |   18 |   9 | 1(W) | 0 | 0 | 0x037044004044008c0370400040440084 | 0x000489
     6872000 |        0 |   18 |  10 | 1(W) | 0 | 0 | 0x03704c004044009c0370480040440094 | 0x00048a
     6874000 |        0 |   18 |  11 | 1(W) | 0 | 0 | 0x03705400404400ac03705000404400a4 | 0x00048b
     6877000 |        0 |   18 |  12 | 1(W) | 0 | 0 | 0x03705c00404400bc03705800404400b4 | 0x00048c
     6879000 |        0 |   18 |  13 | 1(W) | 0 | 0 | 0x03706400404400cc03706000404400c4 | 0x00048d
     6882000 |        0 |   18 |  14 | 1(W) | 0 | 0 | 0x03706c00404400dc03706800404400d4 | 0x00048e
     6884000 |        0 |   18 |  15 | 1(W) | 0 | 0 | 0x238020045034000c2380000450340004 | 0x00048f
     6887000 |        0 |   18 |  16 | 1(W) | 0 | 0 | 0x238060045034001c2380400450340014 | 0x000490
     6889000 |        0 |   18 |  17 | 1(W) | 0 | 0 | 0x2380a0045034002c2380800450340024 | 0x000491
     6892000 |        0 |   18 |  18 | 1(W) | 0 | 0 | 0x2380e0045034003c2380c00450340034 | 0x000492
     6894000 |        0 |   18 |  19 | 1(W) | 0 | 0 | 0x238120045034004c2381000450340044 | 0x000493
     6897000 |        0 |   18 |  20 | 1(W) | 0 | 0 | 0x238160045034005c2381400450340054 | 0x000494
     6899000 |        0 |   18 |  21 | 1(W) | 0 | 0 | 0x2381a0045034006c2381800450340064 | 0x000495
     6902000 |        0 |   18 |  22 | 1(W) | 0 | 0 | 0x2381e0045034007c2381c00450340074 | 0x000496
     6904000 |        0 |   18 |  23 | 1(W) | 0 | 0 | 0x238220045034008c2382000450340084 | 0x000497
     6907000 |        0 |   18 |  24 | 1(W) | 0 | 0 | 0x238260045034009c2382400450340094 | 0x000498
     6909000 |        0 |   18 |  25 | 1(W) | 0 | 0 | 0x2382a004503400ac23828004503400a4 | 0x000499
     6912000 |        0 |   18 |  26 | 1(W) | 0 | 0 | 0x2382e004503400bc2382c004503400b4 | 0x00049a
     6914000 |        0 |   18 |  27 | 1(W) | 0 | 0 | 0x23832004503400cc23830004503400c4 | 0x00049b
     6917000 |        0 |   18 |  28 | 1(W) | 0 | 0 | 0x23836004503400dc23834004503400d4 | 0x00049c
     6919000 |        0 |   18 |  29 | 1(W) | 0 | 0 | 0x002000800180000c0020008001800004 | 0x00049d
     6922000 |        0 |   18 |  30 | 1(W) | 0 | 0 | 0x002000800180001c0020008001800014 | 0x00049e
     6924000 |        0 |   18 |  31 | 1(W) | 0 | 0 | 0x002000800180002c0020008001800024 | 0x00049f
     6927000 |        0 |   18 |  32 | 1(W) | 0 | 0 | 0x002000800180003c0020008001800034 | 0x0004a0
     6929000 |        0 |   18 |  33 | 1(W) | 0 | 0 | 0x002000800180004c0020008001800044 | 0x0004a1
     6932000 |        0 |   18 |  34 | 1(W) | 0 | 0 | 0x002000800180005c0020008001800054 | 0x0004a2
     6934000 |        0 |   18 |  35 | 1(W) | 0 | 0 | 0x002000800180006c0020008001800064 | 0x0004a3
     6937000 |        0 |   18 |  36 | 1(W) | 0 | 0 | 0x002000800180007c0020008001800074 | 0x0004a4
     6939000 |        0 |   18 |  37 | 1(W) | 0 | 0 | 0x002000800180008c0020008001800084 | 0x0004a5
     6942000 |        0 |   18 |  38 | 1(W) | 0 | 0 | 0x002000800180009c0020008001800094 | 0x0004a6
     6944000 |        0 |   18 |  39 | 1(W) | 0 | 0 | 0x00200080018000ac00200080018000a4 | 0x0004a7
     6947000 |        0 |   18 |  40 | 1(W) | 0 | 0 | 0x00200080018000bc00200080018000b4 | 0x0004a8
     6949000 |        0 |   18 |  41 | 1(W) | 0 | 0 | 0x00200080018000cc00200080018000c4 | 0x0004a9
     6952000 |        0 |   18 |  42 | 1(W) | 0 | 0 | 0x00200080018000dc00200080018000d4 | 0x0004aa
     6954000 |        0 |   18 |  43 | 1(W) | 0 | 0 | 0x002004010680000c0020040106800004 | 0x0004ab
     6957000 |        0 |   18 |  44 | 1(W) | 0 | 0 | 0x002004010680001c0020040106800014 | 0x0004ac
     6959000 |        0 |   18 |  45 | 1(W) | 0 | 0 | 0x002004010680002c0020040106800024 | 0x0004ad
     6962000 |        0 |   18 |  46 | 1(W) | 0 | 0 | 0x002004010680003c0020040106800034 | 0x0004ae
     6964000 |        0 |   18 |  47 | 1(W) | 0 | 0 | 0x002004010680004c0020040106800044 | 0x0004af
     6967000 |        0 |   18 |  48 | 1(W) | 0 | 0 | 0x002004010680005c0020040106800054 | 0x0004b0
     6969000 |        0 |   18 |  49 | 1(W) | 0 | 0 | 0x002004010680006c0020040106800064 | 0x0004b1
     6972000 |        0 |   18 |  50 | 1(W) | 0 | 0 | 0x002004010680007c0020040106800074 | 0x0004b2
     6974000 |        0 |   18 |  51 | 1(W) | 0 | 0 | 0x002004010680008c0020040106800084 | 0x0004b3
     6977000 |        0 |   18 |  52 | 1(W) | 0 | 0 | 0x002004010680009c0020040106800094 | 0x0004b4
     6979000 |        0 |   18 |  53 | 1(W) | 0 | 0 | 0x00200401068000ac00200401068000a4 | 0x0004b5
     6982000 |        0 |   18 |  54 | 1(W) | 0 | 0 | 0x00200401068000bc00200401068000b4 | 0x0004b6
     6984000 |        0 |   18 |  55 | 1(W) | 0 | 0 | 0x00200401068000cc00200401068000c4 | 0x0004b7
     6987000 |        0 |   18 |  56 | 1(W) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004b8
     6989000 |        0 |   18 |  57 | 1(W) | 0 | 0 | 0x000100044038000c0001000440380004 | 0x0004b9
     6992000 |        0 |   18 |  58 | 1(W) | 0 | 0 | 0x000100044038001c0001000440380014 | 0x0004ba
     6994000 |        0 |   18 |  59 | 1(W) | 0 | 0 | 0x000100044038002c0001000440380024 | 0x0004bb
     6997000 |        0 |   18 |  60 | 1(W) | 0 | 0 | 0x000100044038003c0001000440380034 | 0x0004bc
     6999000 |        0 |   18 |  61 | 1(W) | 0 | 0 | 0x000100044038004c0001000440380044 | 0x0004bd
     7002000 |        0 |   18 |  62 | 1(W) | 0 | 0 | 0x000100044038005c0001000440380054 | 0x0004be
     7004000 |        0 |   18 |  63 | 1(W) | 0 | 0 | 0x000100044038006c0001000440380064 | 0x0004bf
     7007000 |        0 |   18 |  63 | 1(W) | 0 | 1 | 0x000100044038006c0001000440380064 | 0x0004bf
[7007000] INFO: Row Change (cycle=0, total=1)
     7009000 |        0 |   19 |   0 | 1(W) | 1 | 0 | 0x000100044038007c0001000440380074 | 0x0004c0
     7042000 |        0 |   19 |   1 | 1(W) | 0 | 0 | 0x000100044038008c0001000440380084 | 0x0004c1
     7064000 |        0 |   19 |   2 | 1(W) | 0 | 0 | 0x000100044038009c0001000440380094 | 0x0004c2
     7067000 |        0 |   19 |   3 | 1(W) | 0 | 0 | 0x00010004403800ac00010004403800a4 | 0x0004c3
     7069000 |        0 |   19 |   4 | 1(W) | 0 | 0 | 0x00010004403800bc00010004403800b4 | 0x0004c4
     7072000 |        0 |   19 |   5 | 1(W) | 0 | 0 | 0x00010004403800cc00010004403800c4 | 0x0004c5
     7074000 |        0 |   19 |   6 | 1(W) | 0 | 0 | 0x00010004403800dc00010004403800d4 | 0x0004c6
     7077000 |        0 |   19 |   7 | 1(W) | 0 | 0 | 0x0000000000000000000000007ffffffd | 0x0004c7
     7109000 |        0 |   19 |   7 | 1(W) | 0 | 1 | 0x0000000000000000000000007ffffffd | 0x0004c7
[7109000] INFO: Row Change (cycle=0, total=2)
     7112000 |        0 |   18 |   0 | 0(R) | 1 | 0 | 0x00200401068000dc00200401068000d4 | 0x000480
     7144000 |        0 |   18 |   1 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000481
     7167000 |        0 |   18 |   2 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000482
     7169000 |        0 |   18 |   3 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000483
     7172000 |        0 |   18 |   4 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000484
     7174000 |        0 |   18 |   5 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000485
     7177000 |        0 |   18 |   6 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000486
     7179000 |        0 |   18 |   7 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000487
     7182000 |        0 |   18 |   8 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000488
     7184000 |        0 |   18 |   9 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000489
     7187000 |        0 |   18 |  10 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00048a
     7189000 |        0 |   18 |  11 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00048b
     7192000 |        0 |   18 |  12 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00048c
     7194000 |        0 |   18 |  13 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00048d
     7197000 |        0 |   18 |  14 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00048e
     7199000 |        0 |   18 |  15 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00048f
     7202000 |        0 |   18 |  16 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000490
     7204000 |        0 |   18 |  17 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000491
     7207000 |        0 |   18 |  18 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000492
     7209000 |        0 |   18 |  19 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000493
     7212000 |        0 |   18 |  20 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000494
     7214000 |        0 |   18 |  21 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000495
     7217000 |        0 |   18 |  22 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000496
     7219000 |        0 |   18 |  23 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000497
     7222000 |        0 |   18 |  24 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000498
     7224000 |        0 |   18 |  25 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x000499
     7227000 |        0 |   18 |  26 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00049a
     7229000 |        0 |   18 |  27 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00049b
     7232000 |        0 |   18 |  28 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00049c
     7234000 |        0 |   18 |  29 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00049d
     7237000 |        0 |   18 |  30 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00049e
     7239000 |        0 |   18 |  31 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x00049f
     7242000 |        0 |   18 |  32 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a0
     7244000 |        0 |   18 |  33 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a1
     7247000 |        0 |   18 |  34 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a2
     7249000 |        0 |   18 |  35 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a3
     7252000 |        0 |   18 |  36 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a4
     7254000 |        0 |   18 |  37 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a5
     7257000 |        0 |   18 |  38 | 0(R) | 0 | 0 | 0x00200401068000dc00200401068000d4 | 0x0004a6
