# Hub Local Request Monitor - Slice[0] Bank[0]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[209507000] INFO: slice start (cycle=0)
   209524000 |     1 | 0x1 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209539000 |     1 | 0x3 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209562000 |     0 | 0x0 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209564000 |     1 | 0x5 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209567000 |     0 | 0x2 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209569000 |     1 | 0x7 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209572000 |     0 | 0x4 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209574000 |     1 | 0x9 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209577000 |     0 | 0x6 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209579000 |     1 | 0xb |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209582000 |     0 | 0x8 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209584000 |     1 | 0xd |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209587000 |     0 | 0xa |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209589000 |     1 | 0xf |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209592000 |     0 | 0xc |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209594000 |     1 | 0x11 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209597000 |     0 | 0xe |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209599000 |     1 | 0x13 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209602000 |     0 | 0x10 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
   209604000 |     1 | 0x15 |                0 |               1 | NON_WRITE_REQ | 0b0000000011 | 0b1100000000
