global_event_index,buffer,buffer_event_index,ideal_ready_cycle,actual_ready_cycle,pe_next_available_cycle,ideal_compute_start_cycle,actual_compute_start_cycle,actual_compute_end_cycle,exposed_bubble_cycles,buffer_ready_early_slack_cycles,row_switched_this_event,delay_when_needed_cycles
0,ping,0,28,47,28,28,47,63,19,0,0,19
1,pong,0,44,49,63,44,63,79,0,14,0,5
2,ping,1,60,63,79,60,79,95,0,16,0,3
3,pong,1,76,65,95,76,95,111,0,30,0,0
4,ping,2,92,79,111,92,111,127,0,32,0,0
5,pong,2,108,81,127,108,127,143,0,46,0,0
6,ping,3,124,93,143,124,143,159,0,50,0,0
7,pong,3,140,111,159,140,159,175,0,48,0,0
8,ping,4,156,129,175,156,175,191,0,46,0,0
9,pong,4,172,145,191,172,191,207,0,46,0,0
10,ping,5,188,163,207,188,207,223,0,44,0,0
11,pong,5,204,179,223,204,223,239,0,44,0,0
12,ping,6,220,197,239,220,239,255,0,42,0,0
13,pong,6,236,213,255,236,255,271,0,42,0,0
14,ping,7,252,231,271,252,271,287,0,40,0,0
15,pong,7,268,247,287,268,287,303,0,40,0,0
16,ping,8,284,301,303,284,303,319,0,2,1,17
17,pong,8,300,293,319,300,319,335,0,26,1,0
18,ping,9,316,309,335,316,335,351,0,26,0,0
19,pong,9,332,315,351,332,351,367,0,36,0,0
20,ping,10,348,333,367,348,367,383,0,34,0,0
21,pong,10,364,349,383,364,383,399,0,34,0,0
22,ping,11,380,367,399,380,399,415,0,32,0,0
23,pong,11,396,383,415,396,415,431,0,32,0,0
24,ping,12,412,401,431,412,431,447,0,30,0,0
25,pong,12,428,417,447,428,447,463,0,30,0,0
26,ping,13,444,435,463,444,463,479,0,28,0,0
27,pong,13,460,451,479,460,479,495,0,28,0,0
28,ping,14,476,469,495,476,495,511,0,26,0,0
29,pong,14,492,485,511,492,511,527,0,26,0,0
30,ping,15,508,503,527,508,527,543,0,24,0,0
31,pong,15,524,519,543,524,543,559,0,24,0,0
32,ping,16,540,573,559,540,573,589,14,0,1,33
33,pong,16,556,565,589,556,589,605,0,24,1,9
34,ping,17,572,581,605,572,605,621,0,24,0,9
35,pong,17,588,587,621,588,621,637,0,34,0,0
36,ping,18,604,605,637,604,637,653,0,32,0,1
37,pong,18,620,621,653,620,653,669,0,32,0,1
38,ping,19,636,639,669,636,669,685,0,30,0,3
39,pong,19,652,655,685,652,685,701,0,30,0,3
40,ping,20,668,673,701,668,701,717,0,28,0,5
41,pong,20,684,689,717,684,717,733,0,28,0,5
42,ping,21,700,707,733,700,733,749,0,26,0,7
43,pong,21,716,723,749,716,749,765,0,26,0,7
44,ping,22,732,741,765,732,765,781,0,24,0,9
45,pong,22,748,757,781,748,781,797,0,24,0,9
46,ping,23,764,775,797,764,797,813,0,22,0,11
47,pong,23,780,791,813,780,813,829,0,22,0,11
48,ping,24,796,845,829,796,845,861,16,0,1,49
49,pong,24,812,837,861,812,861,877,0,24,1,25
50,ping,25,828,853,877,828,877,893,0,24,0,25
51,pong,25,844,859,893,844,893,909,0,34,0,15
52,ping,26,860,877,909,860,909,925,0,32,0,17
53,pong,26,876,893,925,876,925,941,0,32,0,17
54,ping,27,892,911,941,892,941,957,0,30,0,19
55,pong,27,908,927,957,908,957,973,0,30,0,19
56,ping,28,924,945,973,924,973,989,0,28,0,21
57,pong,28,940,961,989,940,989,1005,0,28,0,21
58,ping,29,956,979,1005,956,1005,1021,0,26,0,23
59,pong,29,972,995,1021,972,1021,1037,0,26,0,23
60,ping,30,988,1013,1037,988,1037,1053,0,24,0,25
61,pong,30,1004,1029,1053,1004,1053,1069,0,24,0,25
62,ping,31,1020,1047,1069,1020,1069,1085,0,22,0,27
63,pong,31,1036,1063,1085,1036,1085,1101,0,22,0,27
