event_index,ping_first_request_cycle,ping_last_request_cycle,ping_event_ready_span_cycles,ping_request_cycles_in_order,pong_first_request_cycle,pong_last_request_cycle,pong_event_ready_span_cycles,pong_request_cycles_in_order,pong_minus_ping_span_cycles
0,19,47,28,19:bank2:r0:c0 ; 19:bank3:r0:c0 ; 23:bank2:r0:c1 ; 27:bank2:r0:c2 ; 31:bank2:r0:c3 ; 39:bank3:r0:c1 ; 43:bank3:r0:c2 ; 47:bank3:r0:c3,21,49,28,21:bank2:r0:c4 ; 21:bank3:r0:c4 ; 25:bank2:r0:c5 ; 29:bank2:r0:c6 ; 33:bank2:r0:c7 ; 41:bank3:r0:c5 ; 45:bank3:r0:c6 ; 49:bank3:r0:c7,0
1,35,63,28,35:bank2:r0:c8 ; 39:bank2:r0:c9 ; 43:bank2:r0:c10 ; 47:bank2:r0:c11 ; 51:bank3:r0:c8 ; 55:bank3:r0:c9 ; 59:bank3:r0:c10 ; 63:bank3:r0:c11,37,65,28,37:bank2:r0:c12 ; 41:bank2:r0:c13 ; 45:bank2:r0:c14 ; 49:bank2:r0:c15 ; 53:bank3:r0:c12 ; 57:bank3:r0:c13 ; 61:bank3:r0:c14 ; 65:bank3:r0:c15,0
2,51,79,28,51:bank2:r0:c16 ; 57:bank2:r0:c17 ; 61:bank2:r0:c18 ; 65:bank2:r0:c19 ; 67:bank3:r0:c16 ; 71:bank3:r0:c17 ; 75:bank3:r0:c18 ; 79:bank3:r0:c19,53,81,28,53:bank2:r0:c20 ; 59:bank2:r0:c21 ; 63:bank2:r0:c22 ; 67:bank2:r0:c23 ; 69:bank3:r0:c20 ; 73:bank3:r0:c21 ; 77:bank3:r0:c22 ; 81:bank3:r0:c23,0
3,73,93,20,73:bank2:r0:c24 ; 77:bank2:r0:c25 ; 83:bank3:r0:c24 ; 87:bank3:r0:c25 ; 91:bank2:r0:c26 ; 91:bank3:r0:c26 ; 93:bank2:r0:c27 ; 93:bank3:r0:c27,75,111,36,75:bank2:r0:c28 ; 79:bank2:r0:c29 ; 85:bank3:r0:c28 ; 89:bank3:r0:c29 ; 107:bank2:r0:c30 ; 109:bank2:r0:c31 ; 109:bank3:r0:c30 ; 111:bank3:r0:c31,16
4,119,129,10,119:bank2:r0:c32 ; 119:bank3:r0:c32 ; 123:bank2:r0:c33 ; 123:bank3:r0:c33 ; 127:bank2:r0:c34 ; 127:bank3:r0:c34 ; 129:bank2:r0:c35 ; 129:bank3:r0:c35,121,145,24,121:bank2:r0:c36 ; 121:bank3:r0:c36 ; 125:bank2:r0:c37 ; 125:bank3:r0:c37 ; 141:bank2:r0:c38 ; 143:bank2:r0:c39 ; 143:bank3:r0:c38 ; 145:bank3:r0:c39,14
5,153,163,10,153:bank2:r0:c40 ; 153:bank3:r0:c40 ; 157:bank2:r0:c41 ; 157:bank3:r0:c41 ; 161:bank2:r0:c42 ; 161:bank3:r0:c42 ; 163:bank2:r0:c43 ; 163:bank3:r0:c43,155,179,24,155:bank2:r0:c44 ; 155:bank3:r0:c44 ; 159:bank2:r0:c45 ; 159:bank3:r0:c45 ; 175:bank2:r0:c46 ; 177:bank2:r0:c47 ; 177:bank3:r0:c46 ; 179:bank3:r0:c47,14
6,187,197,10,187:bank2:r0:c48 ; 187:bank3:r0:c48 ; 191:bank2:r0:c49 ; 191:bank3:r0:c49 ; 195:bank2:r0:c50 ; 195:bank3:r0:c50 ; 197:bank2:r0:c51 ; 197:bank3:r0:c51,189,213,24,189:bank2:r0:c52 ; 189:bank3:r0:c52 ; 193:bank2:r0:c53 ; 193:bank3:r0:c53 ; 209:bank2:r0:c54 ; 211:bank2:r0:c55 ; 211:bank3:r0:c54 ; 213:bank3:r0:c55,14
7,221,231,10,221:bank2:r0:c56 ; 221:bank3:r0:c56 ; 225:bank2:r0:c57 ; 225:bank3:r0:c57 ; 229:bank2:r0:c58 ; 229:bank3:r0:c58 ; 231:bank2:r0:c59 ; 231:bank3:r0:c59,223,247,24,223:bank2:r0:c60 ; 223:bank3:r0:c60 ; 227:bank2:r0:c61 ; 227:bank3:r0:c61 ; 243:bank2:r0:c62 ; 245:bank2:r0:c63 ; 245:bank3:r0:c62 ; 247:bank3:r0:c63,14
8,287,301,14,287:bank2:r1:c0 ; 289:bank3:r1:c0 ; 291:bank2:r1:c1 ; 293:bank3:r1:c1 ; 295:bank2:r1:c2 ; 297:bank3:r1:c2 ; 299:bank2:r1:c3 ; 301:bank3:r1:c3,257,293,36,257:bank2:r1:c4 ; 257:bank3:r1:c4 ; 269:bank2:r1:c5 ; 269:bank3:r1:c5 ; 287:bank3:r1:c6 ; 289:bank2:r1:c6 ; 291:bank3:r1:c7 ; 293:bank2:r1:c7,22
9,303,309,6,303:bank2:r1:c8 ; 303:bank3:r1:c8 ; 305:bank2:r1:c9 ; 305:bank3:r1:c9 ; 307:bank2:r1:c10 ; 307:bank3:r1:c10 ; 309:bank2:r1:c11 ; 309:bank3:r1:c11,295,315,20,295:bank3:r1:c12 ; 297:bank2:r1:c12 ; 299:bank3:r1:c13 ; 301:bank2:r1:c13 ; 311:bank2:r1:c14 ; 313:bank2:r1:c15 ; 313:bank3:r1:c14 ; 315:bank3:r1:c15,14
10,323,333,10,323:bank2:r1:c16 ; 323:bank3:r1:c16 ; 327:bank2:r1:c17 ; 327:bank3:r1:c17 ; 331:bank2:r1:c18 ; 331:bank3:r1:c18 ; 333:bank2:r1:c19 ; 333:bank3:r1:c19,325,349,24,325:bank2:r1:c20 ; 325:bank3:r1:c20 ; 329:bank2:r1:c21 ; 329:bank3:r1:c21 ; 345:bank2:r1:c22 ; 347:bank2:r1:c23 ; 347:bank3:r1:c22 ; 349:bank3:r1:c23,14
