index,op_name,op_type,latency_share_of_total(%),latency_cycles,hardware_measured_cycles,simulator_error_vs_measured(%),roofline_compute_utilization(%),analytical_compute_utilization(%),measured_compute_utilization(%),roofline_bandwidth_utilization(%),analytical_bandwidth_utilization(%),measured_bandwidth_utilization(%),work_ops,total_bytes,arithmetic_intensity_ops_per_byte
5,ring_gemm_fp16_fp16_fp16_32,ring_gemm_fp16_fp16_fp16,23.40,40632.0,,,100.00,35.28,,25.89,9.14,,3670016.0,118784,30.896551724137932
6,ring_gemm_fp16_fp16_fp16_33,ring_gemm_fp16_fp16_fp16,23.40,40632.0,,,100.00,35.28,,25.89,9.14,,3670016.0,118784,30.896551724137932
4,ring_gemm_fp16_fp16_fp16_36,ring_gemm_fp16_fp16_fp16,12.96,22496.0,,,100.00,63.73,,26.34,16.79,,3670016.0,120832,30.372881355932204
3,ring_gemm_fp16_fp16_fp16_25,ring_gemm_fp16_fp16_fp16,5.71,9920.0,,,100.00,72.26,,26.79,19.35,,1835008.0,61440,29.866666666666667
0,ring_gemm_fp16_fp16_fp16_5,ring_gemm_fp16_fp16_fp16,5.05,8768.0,,,100.00,81.75,,25.89,21.17,,1835008.0,59392,30.896551724137932
1,ring_gemm_fp16_fp16_fp16_7,ring_gemm_fp16_fp16_fp16,5.05,8768.0,,,100.00,81.75,,25.89,21.17,,1835008.0,59392,30.896551724137932
2,ring_gemm_fp16_fp16_fp16_9,ring_gemm_fp16_fp16_fp16,5.05,8768.0,,,100.00,81.75,,25.89,21.17,,1835008.0,59392,30.896551724137932
21,prefill_mul_MN_MN_fp16_fp32_fp16_35,prefill_mul_MN_MN_fp16_fp32_fp16,1.44,2508.0,,,25.00,20.41,,100.00,20.41,,2048.0,16384,0.125
14,prefill_silu_fp16MN_fp32MN_34,prefill_silu_fp16MN_fp32MN,1.08,1884.0,,,33.33,20.38,,100.00,20.38,,2048.0,12288,0.16666666666666666
29,prefill_mul_fp32MN_fp32MN_fp32MN_11,prefill_mul_fp32MN_fp32MN_fp32MN,1.08,1884.0,2286.0,-17.59,16.67,20.38,16.80,100.00,20.38,16.80,1024.0,12288,0.08333333333333333
30,prefill_mul_fp32MN_fp32MN_fp32MN_12,prefill_mul_fp32MN_fp32MN_fp32MN,1.08,1884.0,2286.0,-17.59,16.67,20.38,16.80,100.00,20.38,16.80,1024.0,12288,0.08333333333333333
31,prefill_mul_fp32MN_fp32MN_fp32MN_14,prefill_mul_fp32MN_fp32MN_fp32MN,1.08,1884.0,2286.0,-17.59,16.67,20.38,16.80,100.00,20.38,16.80,1024.0,12288,0.08333333333333333
32,prefill_mul_fp32MN_fp32MN_fp32MN_15,prefill_mul_fp32MN_fp32MN_fp32MN,1.08,1884.0,2286.0,-17.59,16.67,20.38,16.80,100.00,20.38,16.80,1024.0,12288,0.08333333333333333
25,prefill_add_fp32MN_fp32MN_fp16MN_13,prefill_add_fp32MN_fp32MN_fp16MN,0.91,1572.0,,,20.00,20.36,,100.00,20.36,,1024.0,10240,0.1
26,prefill_add_fp32MN_fp32MN_fp16MN_16,prefill_add_fp32MN_fp32MN_fp16MN,0.91,1572.0,,,20.00,20.36,,100.00,20.36,,1024.0,10240,0.1
