arithmetic_intensity_ops_per_byte,byte_scope,bytes_read,bytes_written,compute_domain,global_bandwidth_bytes_per_cycle,global_read_bytes,input_shapes,local_write_bytes,measured_bandwidth_bytes_per_cycle,measured_bandwidth_utilization,measured_compute_utilization,measured_compute_utilization_percent,measured_cycles,measured_global_bandwidth_utilization,measured_local_bandwidth_utilization,measured_ops_per_cycle,measured_ring_bandwidth_utilization,measured_vs_roofline_ratio,op_id,op_type,output_shapes,peak_compute_ops_per_cycle,peak_memory_bandwidth_bytes_per_cycle,remote_fan_in,remote_output_elements,remote_sum_geometry,roofline_bandwidth_bound_cycles,roofline_bandwidth_bytes_per_cycle,roofline_bandwidth_utilization,roofline_bound,roofline_compute_bound_cycles,roofline_compute_utilization,roofline_compute_utilization_percent,roofline_cycles,roofline_gap_percent,roofline_global_bandwidth_utilization,roofline_global_read_bound_cycles,roofline_local_bandwidth_utilization,roofline_local_read_bound_cycles,roofline_local_write_bound_cycles,roofline_ops_per_cycle,roofline_ring_bandwidth_utilization,roofline_ring_transfer_bound_cycles,total_bytes,work_ops,work_scope
0.1500,remote_pull_global_read_local_write,16384,4096,general,0.2857142857142857,16384,inA=[1 x 4 x 1024],4096,0.0989,34.63,0.12,0.1159,165609.0000,34.63,0.08,0.0185,,2.8880,op23,prefill_remote_sum_fp32MN_fp32MN_2d,out=[1 x 1 x 1024],16.0,32.0,4,1024,fan-in=4 partial slices -> 1 result (1024 elements),57344.0000,0.2857,100.00,bandwidth,192.0000,0.33,0.3348,57344.0000,188.7992,100.00,57344.0,0.22,,128.0,0.0536,,,20480,3072.0,remote_reduction_fan_in_minus_one
0.2328,remote_pull_global_read_local_write,3584,128,general,0.2857142857142857,3584,inA=[1 x 28 x 32],128,0.1078,37.73,0.16,0.1624,33245.0000,37.73,0.01,0.0260,,2.6503,op33,prefill_remote_sum_Mfp32_Mfp32,out=[1 x 1 x 32],16.0,32.0,28,32,fan-in=28 partial slices -> 1 result (32 elements),12544.0000,0.2857,100.00,bandwidth,54.0000,0.43,0.4305,12544.0000,165.0271,100.00,12544.0,0.03,,4.0,0.0689,,,3712,864.0,remote_reduction_fan_in_minus_one
0.2328,remote_pull_global_read_local_write,3584,128,general,0.2857142857142857,3584,inA=[1 x 28 x 32],128,0.1083,37.90,0.16,0.1632,33097.0000,37.90,0.01,0.0261,,2.6385,op1,prefill_remote_sum_Mfp32_Mfp32,out=[1 x 1 x 32],16.0,32.0,28,32,fan-in=28 partial slices -> 1 result (32 elements),12544.0000,0.2857,100.00,bandwidth,54.0000,0.43,0.4305,12544.0000,163.8473,100.00,12544.0,0.03,,4.0,0.0689,,,3712,864.0,remote_reduction_fan_in_minus_one
0.1633,,33792,16384,general,,,inA=[1 x 1 x 256]; inB=[1 x 32 x 256],,1.9138,5.98,1.95,1.9529,26218.0000,,,0.3125,,16.7207,op14,prefill_mul_fp32MN_fp32N_fp16MN,out=[1 x 32 x 256],16.0,32.0,,,-,1568.0000,32.0000,100.00,bandwidth,512.0000,32.65,32.6531,1568.0000,1572.0663,,,,,,5.2245,,,50176,8192.0,
0.0833,,8192,4096,general,,,inA=[1 x 32 x 32]; inB=[1 x 32 x 32],,0.7072,2.21,0.37,0.3683,17376.0000,,,0.0589,,45.2500,op18,prefill_mul_fp32MN_fp32MN_fp32MN,out=[1 x 32 x 32],16.0,32.0,,,-,384.0000,32.0000,100.00,bandwidth,64.0000,16.67,16.6667,384.0000,4425.0000,,,,,,2.6667,,,12288,1024.0,
0.0833,,8192,4096,general,,,inA=[1 x 32 x 32]; inB=[1 x 32 x 32],,0.7100,2.22,0.37,0.3698,17308.0000,,,0.0592,,45.0729,op8,prefill_mul_fp32MN_fp32MN_fp32MN,out=[1 x 32 x 32],16.0,32.0,,,-,384.0000,32.0000,100.00,bandwidth,64.0000,16.67,16.6667,384.0000,4407.2917,,,,,,2.6667,,,12288,1024.0,
30.3729,,116736,4096,gemm,,,inA=[32 x 32 x 1]; inB=[896 x 1 x 64],,7.6100,23.78,90.29,90.2884,15878.0000,,,231.1384,,1.1076,op37,ring_gemm_fp16_fp16_fp16,out=[1 x 32 x 64],256.0,32.0,,,-,3776.0000,8.4286,26.34,compute,14336.0000,100.00,100.0000,14336.0000,10.7561,,,,,,256.0000,,,120832,3670016.0,
30.3729,,116736,4096,gemm,,,inA=[32 x 32 x 1]; inB=[896 x 1 x 64],,7.6515,23.91,90.78,90.7801,15792.0000,,,232.3972,,1.1016,op38,ring_gemm_fp16_fp16_fp16,out=[1 x 32 x 64],256.0,32.0,,,-,3776.0000,8.4286,26.34,compute,14336.0000,100.00,100.0000,14336.0000,10.1562,,,,,,256.0000,,,120832,3670016.0,
30.3729,,118784,2048,gemm,,,inA=[64 x 32 x 1]; inB=[1792 x 1 x 32],,7.6690,23.97,90.99,90.9876,15756.0000,,,232.9282,,1.0991,op41,ring_gemm_fp16_fp16_fp16,out=[1 x 32 x 32],256.0,32.0,,,-,3776.0000,8.4286,26.34,compute,14336.0000,100.00,100.0000,14336.0000,9.9051,,,,,,256.0000,,,120832,3670016.0,
24.9756,,81920,2048,gemm,,,inA=[256 x 32 x 1]; inB=[1024 x 1 x 32],,8.2024,25.63,80.02,80.0234,10237.0000,,,204.8600,,1.2496,op20,ring_gemm_fp16_fp16_fp16,out=[1 x 32 x 32],256.0,32.0,,,-,2624.0000,10.2500,32.03,compute,8192.0000,100.00,100.0000,8192.0000,24.9634,,,,,,256.0000,,,83968,2097152.0,
