大模块名,模块名,实例名,寄存器地址,寄存器位宽范围
iga,iga_lc,iga_lc0,00000000000000,[29:0]
,,,00000000000001,[59:30]
,,iga_lc1,00000000100000,[29:0]
,,,00000000100001,[59:30]
,,iga_lc2,00000001000000,[29:0]
,,,00000001000001,[59:30]
,,iga_lc3,00000001100000,[29:0]
,,,00000001100001,[59:30]
,,iga_lc4,00000010000000,[29:0]
,,,00000010000001,[59:30]
,,iga_lc5,00000010100000,[29:0]
,,,00000010100001,[59:30]
,,iga_lc6,00000011000000,[29:0]
,,,00000011000001,[59:30]
,,iga_lc7,00000011100000,[29:0]
,,,00000011100001,[59:30]
,,iga_lc8,00000100000000,[29:0]
,,,00000100000001,[59:30]
,,iga_lc9,00000100100000,[29:0]
,,,00000100100001,[59:30]
,,iga_lc10,00000101000000,[29:0]
,,,00000101000001,[59:30]
,,iga_lc11,00000101100000,[29:0]
,,,00000101100001,[59:30]
,,iga_lc12,00000110000000,[29:0]
,,,00000110000001,[59:30]
,,iga_lc13,00000110100000,[29:0]
,,,00000110100001,[59:30]
,,iga_lc14,00000111000000,[29:0]
,,,00000111000001,[59:30]
,,iga_lc15,00000111100000,[29:0]
,,,00000111100001,[59:30]
,,iga_lc16,00001000000000,[29:0]
,,,00001000000001,[59:30]
,,iga_lc17,00001000100000,[29:0]
,,,00001000100001,[59:30]
,,iga_lc18,00001001000000,[29:0]
,,,00001001000001,[59:30]
,,iga_lc19,00001001100000,[29:0]
,,,00001001100001,[59:30]
,iga_row_lc,iga_row_lc0,00010000000000,[16:0]
,,iga_row_lc1,00010000100000,[16:0]
,,iga_row_lc2,00010001000000,[16:0]
,,iga_row_lc3,00010001100000,[16:0]
,,iga_row_lc4,00010010000000,[16:0]
,iga_col_lc,iga_col_lc0,00100000000000,[25:0]
,,iga_col_lc1,00100000100000,[25:0]
,,iga_col_lc2,00100001000000,[25:0]
,,iga_col_lc3,00100001100000,[25:0]
,,iga_col_lc4,00100010000000,[25:0]
,iga_pe,iga_pe0,00110000000000,[31:0]
,,,00110000000001,const0
,,,00110000000010,const1
,,,00110000000011,const2
,,iga_pe1,00110000100000,[31:0]
,,,00110000100001,const0
,,,00110000100010,const1
,,,00110000100011,const2
,,iga_pe2,00110001000000,[31:0]
,,,00110001000001,const0
,,,00110001000010,const1
,,,00110001000011,const2
,,iga_pe3,00110001100000,[31:0]
,,,00110001100001,const0
,,,00110001100010,const1
,,,00110001100011,const2
,,iga_pe4,00110010000000,[31:0]
,,,00110010000001,const0
,,,00110010000010,const1
,,,00110010000011,const2
,,iga_pe5,00110010100000,[31:0]
,,,00110010100001,const0
,,,00110010100010,const1
,,,00110010100011,const2
,,iga_pe6,00110011000000,[31:0]
,,,00110011000001,const0
,,,00110011000010,const1
,,,00110011000011,const2
,,iga_pe7,00110011100000,[31:0]
,,,00110011100001,const0
,,,00110011100010,const1
,,,00110011100011,const2
,,iga_pe8,00110100000000,[31:0]
,,,00110100000001,const0
,,,00110100000010,const1
,,,00110100000011,const2
,,iga_pe9,00110100100000,[31:0]
,,,00110100100001,const0
,,,00110100100010,const1
,,,00110100100011,const2
lsu,rd_stream,rd_stream0,01000000000000,[28:0]
,,,01000000000001,[57:29]
,,,01000000000010,[86:58]
,,,01000000000011,[115:87]
,,,01000000000100,[144:116]
,,,01000000000101,[173:145]
,,,01000000000110,[202:174]
,,,01000000000111,[231:203]
,,,01000000001000,[260:232]
,,,01000000001001,[289:261]
,,,01000000001010,[318:290]
,,,01000000001011,[347:319]
,,,01000000001100,[376:348]
,,,01000000001101,[405:377]
,,,01000000001110,[434:406]
,,,01000000001111,[463:435]
,,,01000000010000,[492:464]
,,,01000000010001,[521:493]
,,,01000000010010,[550:522]
,,,01000000010011,[579:551]
,,rd_stream1,01000000100000,[28:0]
,,,01000000100001,[57:29]
,,,01000000100010,[86:58]
,,,01000000100011,[115:87]
,,,01000000100100,[144:116]
,,,01000000100101,[173:145]
,,,01000000100110,[202:174]
,,,01000000100111,[231:203]
,,,01000000101000,[260:232]
,,,01000000101001,[289:261]
,,,01000000101010,[318:290]
,,,01000000101011,[347:319]
,,,01000000101100,[376:348]
,,,01000000101101,[405:377]
,,,01000000101110,[434:406]
,,,01000000101111,[463:435]
,,,01000000110000,[492:464]
,,,01000000110001,[521:493]
,,,01000000110010,[550:522]
,,,01000000110011,[579:551]
,,rd_stream2,01000001000000,[28:0]
,,,01000001000001,[57:29]
,,,01000001000010,[86:58]
,,,01000001000011,[115:87]
,,,01000001000100,[144:116]
,,,01000001000101,[173:145]
,,,01000001000110,[202:174]
,,,01000001000111,[231:203]
,,,01000001001000,[260:232]
,,,01000001001001,[289:261]
,,,01000001001010,[318:290]
,,,01000001001011,[347:319]
,,,01000001001100,[376:348]
,,,01000001001101,[405:377]
,,,01000001001110,[434:406]
,,,01000001001111,[463:435]
,,,01000001010000,[492:464]
,,,01000001010001,[521:493]
,,,01000001010010,[550:522]
,,,01000001010011,[579:551]
,,rd_stream3,01000001100000,[28:0]
,,,01000001100001,[57:29]
,,,01000001100010,[86:58]
,,,01000001100011,[115:87]
,,,01000001100100,[144:116]
,,,01000001100101,[173:145]
,,,01000001100110,[202:174]
,,,01000001100111,[231:203]
,,,01000001101000,[260:232]
,,,01000001101001,[289:261]
,,,01000001101010,[318:290]
,,,01000001101011,[347:319]
,,,01000001101100,[376:348]
