大组名称,模块名称,字段,配置名,备注,硬件端口名,备注,默认值
CONFIG,CONFIG,8bit[3:0],config[use+update],iga、lsu、sa、ga 各module是否配置以及是否更新,,iga、lsu、sa、ga,
IGA,20 *DRAM LC,4bit[47:44],dram_loop_configs.src_id,接哪个DRAM_LC,iga_lc_src_id,需要根据当前配置的LC的id推测src_id转换成数字是多少,0
,,1bit[43:43],dram_loop_configs.outmost_loop,inport=null时outmost_loop设为1,iga_lc_outmost_loop,inport=null时outmost_loop设为1,
,,17bit[42:30],dram_loop_configs.start,"可以是正负,LC的start值",iga_lc_initial_value,可以是正负,
,,17bit[29:17],dram_loop_configs.stride,LC的stride值,iga_lc_stride_value,,
,,17bit[16:4],dram_loop_configs.end,LC的end值,iga_lc_end_value,,
,,4bit[3:0],dram_loop_configs.last_index,LC的last_index,iga_lc_index,,
,5*BUFFER ROW LC,4bit[16:13],buffer_loop_configs.ROW_LC.src_id,ROW_LC的输入可以是COL_LC也可以是DRAM LC,iga_row_lc_src_id,ROW_LC的输入可以是COL_LC也可以是DRAM LC,0
,,3bit[12:10],buffer_loop_configs.ROW_LC.start,,iga_row_lc_initial_value,,
,,3bit[9:7],buffer_loop_configs.ROW_LC.stride,,iga_row_lc_stride_value,,
,,3bit[6:4],buffer_loop_configs.ROW_LC.end,,iga_row_lc_end_value,,
,,4bit[3:0],buffer_loop_configs.ROW_LC.last_index,,iga_row_lc_index,,
,5*BUFFER COL LC,4bit[25:22],buffer_loop_configs.COL_LC.src_id,COL_LC的输入可以是ROW_LC也可以是DRAM LC,iga_col_lc_src_id,COL_LC的输入可以是ROW_LC也可以是DRAM LC,0
,,6bit[21:16],buffer_loop_configs.COL_LC.start,,iga_col_lc_initial_value,,
,,6bit[15:10],buffer_loop_configs.COL_LC.stride,,iga_col_lc_stride_value,,
,,6bit[9:4],buffer_loop_configs.COL_LC.end,,iga_col_lc_end_value,,
,,4bit[3:0],buffer_loop_configs.COL_LC.last_index,,iga_col_lc_index,,
,10*LC PE,2bit[67:66],lc_pe_configs.alu_opcode,add、mul、mac,iga_pe_alu_opcode,"add: 0, mul: 1, max: 2",
,,4bit[65:62],lc_pe_configs.inport2.src_id,LC_PE的输入可以是DRAM LC也可以是LC_PE,iga_pe_src_id_2,LC_PE的输入可以是DRAM LC也可以是LC_PE,
